library,version
Babel,2.13.1
cachetools,5.3.3
certifi,2023.11.17
charset-normalizer,3.3.2
colorama,0.4.6
comm,0.2.0
Cython,3.0.6
fastjsonschema,2.19.0
fonttools,4.46.0
google-api-core,2.18.0
google-auth,2.29.0
google-cloud-api-keys,0.5.9
google-cloud-core,2.4.1
google-cloud-language,2.13.3
google-cloud-storage,2.16.0
google-crc32c,1.5.0
google-resumable-media,2.7.0
googleapis-common-protos,1.63.0
grpcio,1.62.2
grpcio-status,1.62.2
idna,3.7
ipykernel,6.27.1
ipython,8.18.1
joblib,1.4.0
jsonschema,4.20.0
jsonschema-specifications,2023.11.2
jupyter-lsp,2.2.1
jupyter_core,5.5.0
jupyter_server,2.11.1
jupyterlab,4.0.9
jupyterlab_server,2.25.2
matplotlib,3.8.2
mpmath,1.3.0
nbconvert,7.11.0
notebook,7.0.6
numpy,1.26.2
pandas,2.1.3
patsy,0.5.4
platformdirs,4.0.0
prometheus-client,0.19.0
prompt-toolkit,3.0.41
proto-plus,1.23.0
protobuf,4.25.3
pyasn1,0.6.0
pyasn1_modules,0.4.0
python-dateutil,2.9.0.post0
pytz,2024.1
radian,0.6.9
rchitect,0.4.4
referencing,0.31.1
requests,2.31.0
rpds-py,0.13.2
rsa,4.9
scikit-learn,1.3.2
scipy,1.11.4
setuptools,69.0.2
six,1.16.0
threadpoolctl,3.4.0
tqdm,4.66.2
traitlets,5.14.0
trueskill,0.4.5
tzdata,2024.1
urllib3,2.1.0
wcwidth,0.2.12
